Date,SPY
1999-01-04,77.83903503417969
1999-01-05,78.7287826538086
1999-01-06,80.62677001953125
1999-01-07,80.23137664794922
1999-01-08,80.8244857788086
1999-01-11,80.05342864990234
1999-01-12,78.6101303100586
1999-01-13,78.0565414428711
1999-01-14,76.69232177734375
1999-01-15,78.68922424316406
1999-01-19,79.2032699584961
1999-01-20,79.83592987060547
1999-01-21,77.72045135498047
1999-01-22,77.54244232177734
1999-01-25,78.33329772949219
1999-01-26,79.7568588256836
1999-01-27,78.82760620117188
1999-01-28,80.15225219726562
1999-01-29,80.76518249511719
1999-02-01,80.29065704345703
1999-02-02,79.79641723632812
1999-02-03,80.60701751708984
1999-02-04,79.4009780883789
1999-02-05,78.49150848388672
1999-02-08,78.64969635009766
1999-02-09,76.89004516601562
1999-02-10,77.38432312011719
1999-02-11,79.16370391845703
1999-02-12,78.2147445678711
1999-02-16,77.74018096923828
1999-02-17,77.6611328125
1999-02-18,78.2740249633789
1999-02-19,78.6101303100586
1999-02-22,80.7059097290039
1999-02-23,80.66631317138672
1999-02-24,79.24281311035156
1999-02-25,78.49150848388672
1999-02-26,78.1751708984375
1999-03-01,78.39265441894531
1999-03-02,77.70065307617188
1999-03-03,78.11585235595703
1999-03-04,79.1043701171875
1999-03-05,80.69599151611328
1999-03-08,81.21992492675781
1999-03-09,81.02222442626953
1999-03-10,81.7339859008789
1999-03-11,82.6434555053711
1999-03-12,81.85260772705078
1999-03-15,83.01908111572266
1999-03-16,82.7027359008789
1999-03-17,82.34688568115234
1999-03-18,83.67152404785156
1999-03-19,82.24932098388672
1999-03-22,82.40791320800781
1999-03-23,80.02957916259766
1999-03-24,80.48545837402344
1999-03-25,82.13040924072266
1999-03-26,81.53584289550781
1999-03-29,83.18079376220703
1999-03-30,82.74480438232422
1999-03-31,81.41690826416016
1999-04-01,82.03129577636719
1999-04-05,83.97360229492188
1999-04-06,83.77542114257812
1999-04-07,84.44925689697266
1999-04-08,85.51943969726562
1999-04-09,85.53926849365234
1999-04-12,86.45098876953125
1999-04-13,85.8960189819336
1999-04-14,84.44925689697266
1999-04-15,84.1321029663086
1999-04-16,83.41864776611328
1999-04-19,82.13040924072266
1999-04-20,83.16100311279297
1999-04-21,85.53926849365234
1999-04-22,86.35186767578125
1999-04-23,86.1339111328125
1999-04-26,86.62933349609375
1999-04-27,87.04556274414062
1999-04-28,85.85639953613281
1999-04-29,85.20235443115234
1999-04-30,84.50870513916016
1999-05-03,86.05457305908203
1999-05-04,84.82579803466797
1999-05-05,85.49962615966797
1999-05-06,84.9744873046875
1999-05-07,85.61858367919922
1999-05-10,85.19243621826172
1999-05-11,86.05457305908203
1999-05-12,86.72840881347656
1999-05-13,87.10498809814453
1999-05-14,84.84564208984375
1999-05-17,85.1032943725586
1999-05-18,84.9447250366211
1999-05-19,85.55912017822266
1999-05-20,85.0438232421875
1999-05-21,84.56816101074219
1999-05-24,83.16100311279297
1999-05-25,81.81330108642578
1999-05-26,82.7249984741211
1999-05-27,81.53584289550781
1999-05-28,82.57633972167969
1999-06-01,82.28898620605469
1999-06-02,82.36824798583984
1999-06-03,82.82408142089844
1999-06-04,84.4888687133789
1999-06-07,84.70686340332031
1999-06-08,83.87450408935547
1999-06-09,83.79523468017578
1999-06-10,83.02226257324219
1999-06-11,82.32860565185547
1999-06-14,82.40791320800781
1999-06-15,82.96281433105469
1999-06-16,84.54833984375
1999-06-17,85.3410873413086
1999-06-18,85.43970489501953
1999-06-21,85.63849639892578
1999-06-22,85.04212188720703
1999-06-23,84.62467956542969
1999-06-24,83.98851776123047
1999-06-25,83.77980041503906
1999-06-28,84.80358123779297
1999-06-29,85.59868621826172
1999-06-30,87.14927673339844
1999-07-01,87.80531311035156
1999-07-02,88.67997741699219
1999-07-06,88.66009521484375
1999-07-07,88.77938079833984
1999-07-08,88.84894561767578
1999-07-09,89.37574768066406
1999-07-12,88.97815704345703
1999-07-13,88.66009521484375
1999-07-14,89.15706634521484
1999-07-15,89.72364044189453
1999-07-16,90.21064758300781
1999-07-19,89.6142578125
1999-07-20,87.77549743652344
1999-07-21,87.67606353759766
1999-07-22,86.52311706542969
1999-07-23,86.35416412353516
1999-07-26,85.7179946899414
1999-07-27,86.43360137939453
1999-07-28,86.71196746826172
1999-07-29,85.49932098388672
1999-07-30,84.44578552246094
1999-08-02,84.6445541381836
1999-08-03,84.24696350097656
1999-08-04,83.09397888183594
1999-08-05,83.84937286376953
1999-08-06,82.93494415283203
1999-08-09,82.75606536865234
1999-08-10,81.8415756225586
1999-08-11,82.83560180664062
1999-08-12,82.785888671875
1999-08-13,84.70417022705078
1999-08-16,85.08187103271484
1999-08-17,85.63849639892578
1999-08-18,85.02224731445312
1999-08-19,84.32649993896484
1999-08-20,85.18128967285156
1999-08-23,86.81134033203125
1999-08-24,87.12945556640625
1999-08-25,88.02399444580078
1999-08-26,86.97042083740234
1999-08-27,85.91681671142578
1999-08-30,84.32649993896484
1999-08-31,84.0084228515625
1999-09-01,85.04212188720703
1999-09-02,84.03823852539062
1999-09-03,86.49329376220703
1999-09-07,86.17523193359375
1999-09-08,85.75775909423828
1999-09-09,85.7179946899414
1999-09-10,86.43360137939453
1999-09-13,85.84722900390625
1999-09-14,85.28070831298828
1999-09-15,83.92890930175781
1999-09-16,84.25688934326172
1999-09-17,85.3215103149414
1999-09-20,85.20188903808594
1999-09-21,83.40776062011719
1999-09-22,83.31805419921875
1999-09-23,81.57373046875
1999-09-24,81.49401092529297
1999-09-27,82.0322494506836
1999-09-28,81.8727798461914
